Year,Data type,Sex,Age group,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National(a)
2022-23,Number of At risk clients,Females,45 to 54,946,"2,317",563,531,313,60,37,149,"4,908"
2022-23,Number of At risk clients,Females,55 to 64,456,"1,103",276,347,137,40,12,58,"2,428"
2022-23,Number of At risk clients,Females,65+,311,698,160,182,48,29,28,34,"1,491"
2022-23,Number of At risk clients,Females,Total,"8,152","15,932","4,675","4,338","2,695",418,317,"1,589","38,081"
2022-23,Number of At risk clients,Males,0 to 9,"1,024","1,549",683,583,362,n.p.,7,235,"4,445"
2022-23,Number of At risk clients,Males,10 to 14,470,609,242,191,146,n.p.,4,49,"1,713"
2022-23,Number of At risk clients,Males,15 to 17,443,365,143,80,81,n.p.,6,17,"1,137"
2022-23,Number of At risk clients,Males,18 to 24,564,"1,037",256,144,140,30,27,31,"2,228"
2022-23,Number of At risk clients,Males,25 to 34,363,"1,995",270,233,194,47,25,20,"3,147"
2022-23,Number of At risk clients,Males,35 to 44,477,"2,181",323,231,200,39,31,25,"3,503"
2022-23,Number of At risk clients,Males,45 to 54,460,"1,540",333,243,127,43,19,16,"2,783"
2022-23,Number of At risk clients,Males,55 to 64,296,837,187,171,88,32,10,10,"1,630"
2022-23,Number of At risk clients,Males,65+,188,574,117,126,42,23,8,4,"1,082"
2022-23,Number of At risk clients,Males,Total,"4,285","10,687","2,554","2,002","1,380",221,137,407,"21,668"
2022-23,Number of At risk clients,All clients,0 to 9,"1,965","2,988","1,312","1,133",720,7,15,463,"8,599"
2022-23,Number of At risk clients,All clients,10 to 14,974,"1,187",492,393,292,6,12,150,"3,505"
2022-23,Number of At risk clients,All clients,15 to 17,"1,197",812,353,232,231,11,23,60,"2,918"
2022-23,Number of At risk clients,All clients,18 to 24,"1,757","2,774",883,629,483,95,71,290,"6,970"
2022-23,Number of At risk clients,All clients,25 to 34,"1,885","5,929","1,285","1,216",828,158,110,415,"11,819"
2022-23,Number of At risk clients,All clients,35 to 44,"2,002","5,860","1,268","1,137",766,135,109,347,"11,616"
2022-23,Number of At risk clients,All clients,45 to 54,"1,406","3,857",896,774,440,103,56,165,"7,691"
2022-23,Number of At risk clients,All clients,55 to 64,752,"1,940",463,518,225,72,22,68,"4,058"
2022-23,Number of At risk clients,All clients,65+,499,"1,272",277,308,90,52,36,38,"2,573"
2022-23,Number of At risk clients,All clients,Total,"12,437","26,619","7,229","6,340","4,075",639,454,"1,996","59,749"
2021-22,Proportion of clients that avoided homelessness,Females,0 to 9,84.2,77.9,85.8,75.3,85.5,n.p.,n.p.,80.1,81.1
2021-22,Proportion of clients that avoided homelessness,Females,10 to 14,87.7,81.1,92.7,85.2,90.9,n.p.,n.p.,89.5,86.4
2021-22,Proportion of clients that avoided homelessness,Females,15 to 17,71.8,73.8,75.0,82.6,83.1,n.p.,n.p.,92.6,76.1
2021-22,Proportion of clients that avoided homelessness,Females,18 to 24,77.6,71.9,77.6,78.7,84.1,n.p.,n.p.,79.5,75.6
2021-22,Proportion of clients that avoided homelessness,Females,25 to 34,81.4,78.1,81.7,82.1,83.4,70.7,n.p.,75.8,79.5
2021-22,Proportion of clients that avoided homelessness,Females,35 to 44,86.6,80.3,82.0,84.2,83.6,n.p.,n.p.,80.3,82.1
2021-22,Proportion of clients that avoided homelessness,Females,45 to 54,88.1,83.1,81.7,84.0,85.2,n.p.,n.p.,82.8,83.8
2021-22,Proportion of clients that avoided homelessness,Females,55 to 64,92.4,85.6,91.3,88.6,92.1,n.p.,n.p.,n.p.,88.1
2021-22,Proportion of clients that avoided homelessness,Females,65+,93.9,93.8,94.6,94.4,n.p.,n.p.,n.p.,n.p.,94.2
2021-22,Proportion of clients that avoided homelessness,Females,Total,83.6,79.7,83.1,82.6,84.9,77.4,81.0,81.6,81.5
2021-22,Proportion of clients that avoided homelessness,Males,0 to 9,85.6,78.2,88.4,73.7,84.2,n.p.,n.p.,81.7,81.8
2021-22,Proportion of clients that avoided homelessness,Males,10 to 14,87.7,81.6,85.8,84.9,90.6,n.p.,n.p.,92.8,85.8
2021-22,Proportion of clients that avoided homelessness,Males,15 to 17,79.3,76.0,79.1,n.p.,n.p.,n.p.,n.p.,91.3,79.6
2021-22,Proportion of clients that avoided homelessness,Males,18 to 24,79.0,68.0,76.7,86.4,86.3,n.p.,n.p.,n.p.,74.4
2021-22,Proportion of clients that avoided homelessness,Males,25 to 34,79.9,70.2,75.1,86.1,79.4,n.p.,n.p.,n.p.,73.0
2021-22,Proportion of clients that avoided homelessness,Males,35 to 44,78.4,67.6,74.5,80.3,78.9,n.p.,n.p.,n.p.,71.0
2021-22,Proportion of clients that avoided homelessness,Males,45 to 54,83.8,71.3,74.0,86.6,78.4,n.p.,n.p.,n.p.,75.0
2021-22,Proportion of clients that avoided homelessness,Males,55 to 64,86.3,82.2,79.1,88.5,n.p.,n.p.,n.p.,n.p.,82.5
2021-22,Proportion of clients that avoided homelessness,Males,65+,92.3,87.7,89.5,96.6,n.p.,n.p.,n.p.,n.p.,89.9
