Month and Year,Month,Year,Sex,Group,Reason for seeking assistance,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National
Apr-25,April,2025,Male,Health,Medical issues,766,"1,164",803,263,315,110,110,47,"3,577"
Apr-25,April,2025,Male,Health,Problematic drug or substance use,627,"1,001",300,211,139,67,73,20,"2,436"
Apr-25,April,2025,Male,Health,Problematic alcohol use,313,386,218,155,81,54,55,38,"1,298"
Apr-25,April,2025,Male,Other,Other,"2,810","4,146","2,461",847,551,339,409,346,"11,903"
Apr-25,April,2025,Male,Other,Transition from custodial arrangements,356,"1,061",141,51,133,46,36,32,"1,856"
Apr-25,April,2025,Male,Other,Transition from other care arrangements,93,148,68,38,17,30,20,5,419
Apr-25,April,2025,Male,Other,Unable to return home due to environmental reasons,164,175,158,42,34,16,32,6,627
Apr-25,April,2025,Male,Other,Lack of family and/or community support,"1,764","2,091","1,540",482,234,176,210,178,"6,672"
Apr-25,April,2025,Male,Other,Other (not elsewhere classified),429,945,656,220,29,89,174,107,"2,648"
Apr-25,April,2025,Male,Total,Total Clients,"9,046","12,899","8,155","2,543","2,592","1,013",836,"1,174","38,189"
Apr-25,April,2025,Total,Accommodation,Accommodation,"13,410","15,560","12,828","3,167","4,734","1,456","1,284","1,370","53,706"
Apr-25,April,2025,Total,Accommodation,Housing crisis (e.g. eviction),"8,920","9,700","8,030","1,829","3,771",806,894,416,"34,325"
Apr-25,April,2025,Total,Accommodation,Inadequate or inappropriate dwelling conditions,"4,977","8,171","6,773","1,751",817,727,605,935,"24,725"
Apr-25,April,2025,Total,Accommodation,Previous accommodation ended,"3,599","4,437","3,617",977,307,571,300,210,"14,010"
Apr-25,April,2025,Total,Financial,Financial,"11,580","15,328","11,721","3,411","1,901",969,"1,362","1,102","47,297"
Apr-25,April,2025,Total,Financial,Financial difficulties,"7,657","11,520","8,486","2,426","1,025",602,966,714,"33,360"
Apr-25,April,2025,Total,Financial,Housing affordability stress,"7,914","10,368","9,195","2,189",720,759,"1,133",484,"32,722"
Apr-25,April,2025,Total,Financial,Employment difficulties,"1,014","1,452",916,359,183,56,226,131,"4,334"
Apr-25,April,2025,Total,Financial,Unemployment,"2,472","3,161","2,297",934,640,148,351,265,"10,257"
